tempo, ref, theta
7.839000, 0.000000, -6.768592
7.848000, 0.000000, -6.771006
7.859000, 0.000000, -6.770998
7.869000, 0.000000, -6.771584
7.878000, 0.000000, -6.769732
7.888000, 0.000000, -6.770970
7.898000, 0.000000, -6.772759
7.908000, 0.000000, -6.774899
7.918000, 0.000000, -6.775794
7.928000, 0.000000, -6.777637
7.938000, 0.000000, -6.777620
7.948000, 0.000000, -6.780962
7.958000, 0.000000, -6.781549
7.968000, 0.000000, -6.785489
7.979000, 0.000000, -6.787005
7.988000, 0.000000, -6.789138
7.998000, 0.000000, -6.792126
8.008000, 0.000000, -6.793284
8.018000, 0.000000, -6.796013
8.028000, 0.000000, -6.797862
8.038000, 0.000000, -6.798760
8.049000, 0.000000, -6.799990
8.058000, 0.000000, -6.802722
8.068000, 0.000000, -6.804544
8.078000, 0.000000, -6.806060
8.088000, 0.000000, -6.808148
8.098000, 0.000000, -6.811193
8.108000, 0.000000, -6.812702
8.118000, 0.000000, -6.814831
8.128000, 0.000000, -6.816678
8.138000, 0.000000, -6.819084
8.148000, 0.000000, -6.821216
8.158000, 0.000000, -6.824270
8.168000, 0.000000, -6.825809
8.178000, 0.000000, -6.826400
8.188000, 0.000000, -6.828878
8.198000, 0.000000, -6.831306
8.208000, 0.000000, -6.832519
8.218000, 0.000000, -6.834050
8.228000, 0.000000, -6.835244
8.238000, 0.000000, -6.837952
8.248000, 0.000000, -6.840403
8.258000, 0.000000, -6.842203
8.268000, 0.000000, -6.844945
8.278000, 0.000000, -6.847084
8.288000, 0.000000, -6.849509
8.298000, 0.000000, -6.851954
8.308000, 0.000000, -6.853158
8.318000, 0.000000, -6.856186
8.328000, 0.000000, -6.859544
8.338000, 0.000000, -6.862280
8.348000, 0.000000, -6.864151
8.358000, 0.000000, -6.866027
8.368000, 0.000000, -6.867889
8.378000, 0.000000, -6.868175
8.388000, 0.000000, -6.870322
8.398000, 0.000000, -6.872451
8.408000, 0.000000, -6.871587
8.418000, 0.000000, -6.871894
8.428000, 0.000000, -6.874635
8.438000, 0.000000, -6.876741
8.448000, 0.000000, -6.879158
8.458000, 0.000000, -6.881581
8.468000, 0.000000, -6.881851
8.478000, 0.000000, -6.883972
8.488000, 0.000000, -6.884247
8.498000, 0.000000, -6.884523
8.508000, 0.000000, -6.884168
8.518000, 0.000000, -6.885107
8.528000, 0.000000, -6.886630
8.538000, 0.000000, -6.888133
8.548000, 0.000000, -6.887829
8.558000, 0.000000, -6.889920
8.568000, 0.000000, -6.890838
8.578000, 0.000000, -6.890493
8.588000, 0.000000, -6.893856
8.598000, 0.000000, -6.897510
8.608000, 0.000000, -6.897783
8.618000, 0.000000, -6.900203
8.628000, 0.000000, -6.903544
8.638000, 0.000000, -6.904130
8.648000, 0.000000, -6.904717
8.658000, 0.000000, -6.908036
8.668000, 0.000000, -6.909535
8.678000, 0.000000, -6.910420
8.688000, 0.000000, -6.912212
8.698000, 0.000000, -6.913725
8.708000, 0.000000, -6.911891
8.718000, 0.000000, -6.910046
8.728000, 0.000000, -6.911551
8.738000, 0.000000, -6.913662
8.748000, 0.000000, -6.913677
8.758000, 0.000000, -6.915172
8.768000, 0.000000, -6.916086
8.778000, 0.000000, -6.918801
8.788000, 0.000000, -6.919107
8.798000, 0.000000, -6.921224
8.808000, 0.000000, -6.923031
8.818000, 0.000000, -6.925147
8.828000, 0.000000, -6.926955
8.838000, 0.000000, -6.929711
8.848000, 0.000000, -6.933070
8.858000, 0.000000, -6.933644
8.868000, 0.000000, -6.936683
8.878000, 0.000000, -6.940957
8.888000, 0.000000, -6.942495
8.898000, 0.000000, -6.945543
8.908000, 0.000000, -6.947974
8.918000, 0.000000, -6.948288
8.928000, 0.000000, -6.951348
8.938000, 0.000000, -6.955001
8.948000, 0.000000, -6.956503
8.958000, 0.000000, -6.957980
8.968000, 0.000000, -6.961340
8.978000, 0.000000, -6.963789
8.988000, 0.000000, -6.965906
8.998000, 0.000000, -6.968014
9.008000, 0.000000, -6.971033
9.018000, 0.000000, -6.971942
9.028000, 0.000000, -6.974684
9.037000, 0.000000, -6.976788
9.048000, 0.000000, -6.978613
9.058000, 0.000000, -6.980424
9.068000, 0.000000, -6.982226
9.078000, 0.000000, -6.986173
9.089000, 0.000000, -6.988621
9.097000, 0.000000, -6.990765
9.108000, 0.000000, -6.992273
9.117000, 0.000000, -6.993187
9.128000, 0.000000, -6.994401
9.137000, 0.000000, -6.995310
9.147000, 0.000000, -6.996224
9.157000, 0.000000, -6.998672
9.167000, 0.000000, -6.998955
9.178000, 0.000000, -7.001388
9.188000, 0.000000, -7.003489
9.197000, 0.000000, -7.006179
9.208000, 0.000000, -7.007336
9.217000, 0.000000, -7.009748
9.228000, 0.000000, -7.012170
9.237000, 0.000000, -7.013976
9.247000, 0.000000, -7.016695
9.257000, 0.000000, -7.018250
9.268000, 0.000000, -7.019758
9.277000, 0.000000, -7.022536
9.287000, 0.000000, -7.021342
9.298000, 0.000000, -7.019764
9.307000, 0.000000, -7.021888
9.317000, 0.000000, -7.024048
9.327000, 0.000000, -7.024969
9.338000, 0.000000, -7.027702
9.348000, 0.000000, -7.027981
9.357000, 0.000000, -7.031320
9.367000, 0.000000, -7.031306
9.377000, 0.000000, -7.034063
9.387000, 0.000000, -7.036160
9.397000, 0.000000, -7.037313
9.407000, 0.000000, -7.038197
9.417000, 0.000000, -7.040606
9.427000, 0.000000, -7.040613
9.437000, 0.000000, -7.042757
9.447000, 0.000000, -7.044025
9.457000, 0.000000, -7.044892
9.467000, 0.000000, -7.046742
9.477000, 0.000000, -7.047959
9.487000, 0.000000, -7.050361
9.497000, 0.000000, -7.053100
9.507000, 0.000000, -7.054626
9.517000, 0.000000, -7.056119
9.527000, 0.000000, -7.058228
9.537000, 0.000000, -7.060046
9.547000, 0.000000, -7.061267
9.558000, 0.000000, -7.063390
