Tempo(ms), Tensão da Bateria(V) , Tensão do Jack
68400, 7.438022, 0.000000
68500, 7.423516, 0.000000
68600, 7.423516, 0.000000
68700, 7.423516, 0.000000
68800, 7.423516, 0.000000
68900, 7.418681, 0.000000
69000, 7.413846, 0.000000
69100, 7.428352, 0.000000
69200, 7.423516, 0.000000
69300, 7.423516, 0.000000
69400, 7.423516, 0.000000
69500, 7.423516, 0.000000
69600, 7.423516, 0.000000
69700, 7.428352, 0.000000
69800, 7.423516, 0.000000
69900, 7.423516, 0.000000
70000, 7.438022, 0.000000
70100, 7.438022, 0.000000
70200, 7.438022, 0.000000
70300, 7.438022, 0.000000
70400, 7.438022, 0.000000
70500, 7.428352, 0.000000
70600, 7.423516, 0.000000
70700, 7.428352, 0.000000
70800, 7.423516, 0.000000
70900, 7.423516, 0.000000
71000, 7.423516, 0.000000
71100, 7.423516, 0.000000
71200, 7.423516, 0.000000
71300, 7.423516, 0.000000
71400, 7.423516, 0.000000
71500, 7.428352, 0.000000
71600, 7.423516, 0.000000
71700, 7.423516, 0.000000
71800, 7.423516, 0.000000
71900, 7.423516, 0.000000
72000, 7.438022, 0.000000
72100, 7.438022, 0.000000
72200, 7.438022, 0.000000
72300, 7.438022, 0.000000
72400, 7.438022, 0.000000
72500, 7.423516, 0.000000
72600, 7.423516, 0.000000
72700, 7.423516, 0.000000
72800, 7.423516, 0.000000
72900, 7.418681, 0.000000
73000, 7.423516, 0.000000
73100, 7.418681, 0.000000
73200, 7.423516, 0.000000
73300, 7.423516, 0.000000
73400, 7.423516, 0.000000
73500, 7.423516, 0.000000
73600, 7.423516, 0.000000
73700, 7.428352, 0.000000
73800, 7.428352, 0.000000
73900, 7.423516, 0.000000
74000, 7.438022, 0.000000
74100, 7.438022, 0.000000
74200, 7.438022, 0.000000
74300, 7.438022, 0.000000
74400, 7.438022, 0.000000
74500, 7.423516, 0.000000
74600, 7.423516, 0.000000
74700, 7.423516, 0.000000
74800, 7.423516, 0.000000
74900, 7.428352, 0.000000
75000, 7.428352, 0.000000
75100, 7.423516, 0.000000
75200, 7.423516, 0.000000
75300, 7.423516, 0.000000
75400, 7.423516, 0.000000
75500, 7.423516, 0.000000
75600, 7.423516, 0.000000
75700, 7.423516, 0.000000
75800, 7.423516, 0.000000
75900, 7.423516, 0.000000
76000, 7.438022, 0.000000
76100, 7.433187, 0.000000
76200, 7.438022, 0.000000
76300, 7.433187, 0.000000
76400, 7.438022, 0.000000
76500, 7.423516, 0.000000
76600, 7.423516, 0.000000
76700, 7.423516, 0.000000
76800, 7.423516, 0.000000
76900, 7.423516, 0.000000
77000, 7.423516, 0.000000
77100, 7.423516, 0.000000
77200, 7.423516, 0.000000
77300, 7.423516, 0.000000
77400, 7.418681, 0.000000
77500, 7.423516, 0.000000
77600, 7.423516, 0.000000
77700, 7.423516, 0.000000
77800, 7.423516, 0.000000
77900, 7.423516, 0.000000
78000, 7.433187, 0.000000
78100, 7.433187, 0.000000
78200, 7.438022, 0.000000
78300, 7.438022, 0.000000
78400, 7.442857, 0.000000
78500, 7.423516, 0.000000
78600, 7.423516, 0.000000
78700, 7.423516, 0.000000
78800, 7.428352, 0.000000
78900, 7.423516, 0.000000
79000, 7.423516, 0.000000
79100, 7.423516, 0.000000
79200, 7.423516, 0.000000
79300, 7.428352, 0.000000
79400, 7.423516, 0.000000
